YJA,i grega jota a
HPG,hac pe ge
AKP,a ka pe
YPG,i grega pe ge
YDG-H,i grega de ge guió hac
YDG-K,i grega de ge guió ka
DAIS,de a i essa
KADEK,kadek
PKK,pe ka ka
HDP,hac de pe
DYA,de i grega a
TC,te ce
PDK,pe de ka
TV,te ve baixa
NY,ena i grega
CPT,ce pe te
YPJ,i grega pe jota
DYE,de i grega e
PYD,pe i grega de
YPS,i grega pe essa
YBŞ,i grega be essa
DBP,de be pe
BDP,be de pe
CHP,ce hac pe
YNK,i grega ena ka
QSD,cu essa  de
TL,te ela
KCK,ka ce ka
HDK,hac de ka
KNK,ka ena ka
KCD,ka ce de
KCD-E,ka ce de guió e
IHD,i hac de
DMME,de ema ema e
MHP,ema hac pe
KJA,ka jota a
MLKP,ema ela ka pe
CDU,ce de u
PE,pe e
NCDK,ena ce de ka
KM,ka ema
DIHA,de i hac a
PJAK,pe jota a k
ENKS,e ena ka essa
SPD,essa pe de
YJŞ,i grega jota essa
UNESCO,unesco
DNA,de ena a
BKC,be ka ce
TKP,te ka pe
NRW,ena erra ve doble
TRT,te erra te
BBC,be be c
NCKD,ena ce ka de
KESK,ka e essa ka
IMC,i ema ce
FKÊ,efa ka e
MPKE,ema pe ka e
YSK,i graga essa ka
ANF,a ena efa
ESP,e essa pe
TMMOB,te ema ema o be
YXK,i graga ics ka
TTB,te te be
JINHA,jota i ena hac a
MMC,ema ema ce
PADÊ,pe a de e
CIA,cia
PCDK,pe ce de ka
TJA,te jota a
JITEM,jitem
NUCE,ena u ce e
KDP,ka de pe
POH,pe o hac
TJKE,te jota ja e
JOH,jota o hac
CSU,ce essa u
DISK,disc
IMF,i ema efa
UETD,u e te de
MEYADER,meyader
SP,essa pe
DÖKH,de o ka hac
TIKKO,tikko
CNN,ce ena ena
TŞYG,te essa i grega ge
KJAR,ka jota a erra
NSA,ena essa a
PAJK,pe a jota ka
ODTU,o de te u
DKP,de ka pe
MGRK,ema ge erra ka
PS,pe essa
WHO,ve doble hac o
HSD,hac essa de
SYKP,essa i grega ka pe
KJK,ka jota ka
ELN,e ela ena
MLPD,ema ela pe de
SGDF,essa ge de efa
TEVDA,te e ve baixa de a
ANHA,a ena hac a
UTAMARA,utamara
PM,pe ema
MSD,ema essa de
MYK,ema i grega ka
AA,a a
RJAK,erra jota a ka
ABDEM,a be alta de e ema
SKB,essa ka be
FDP,efa de pe
DDB,de de be
TMK,te ema ka
YKSS,i grega ka essa essa
MP,ema pe
FBI,efa be alta i
SMJE,essa ema jota e
ETHA,e te hac a
HRW,hac erra ve doble
AFAD,a efa a de
OSCE,o essa ce e
UNICEF,unicef
BMB,be alta ema be alta
DSI,de esa i
RSF,erra essa efa
RTE,erra te e
KOMAW,ka o ema a ve doble
UNHCR,u ena hac ce erra
AAS,a a essa
CGT,ce ge te
KJB,ka jota be
NRT,ena erra te
AABF,a a be alta efa
GDL,ge de ela
HPC,hac pe ce
BHQ,be hac cu
CD,ce de
ÇHD,ce trencada hac de
TIHV,te i hac ve baixa
MGK,ema ge ka
IKEA,ikea
LGBTI,ela ge te be alta i
EMEP,e ema e pe
OHD,o hac de
DBK,de be alta ka
GPS,ge pe essa
HTTP,hac te te pe
HTML,hac te ema ela
WWW,tres ve dobles
